Store,mean_pred_base,mean_pred_shocked,delta_abs,delta_pct
1,1314183.8654107496,1305726.8116524073,-8457.053758342285,-0.6435213504694051
2,1621918.0591481791,1641288.8368308514,19370.777682672255,1.1943129662694343
3,433375.6922683482,446139.07634972915,12763.384081380966,2.9451084380334422
4,1764880.265659479,1738596.6356380598,-26283.630021419143,-1.4892585368445828
5,440383.5015698577,444704.77532880666,4321.273758948955,0.9812524183001153
6,1302166.9037045531,1298940.079131321,-3226.824573232094,-0.247804222642432
7,496317.73510787694,488055.4297709379,-8262.305336939055,-1.6647209544392374
8,709481.8997586148,721059.0253678203,11577.125609205454,1.6317718060382242
9,504506.1131648317,491833.8053630729,-12672.307801758812,-2.5118244300874366
10,1578960.2914905995,1604637.5004482074,25677.208957607858,1.6262099240866648
11,1122505.4590162556,1120562.486573253,-1942.972443002509,-0.17309247161303754
12,457930.2676806275,440295.786064752,-17634.4816158755,-3.8509098132325783
13,1720577.1306337623,1704928.8410278244,-15648.289605937898,-0.9094791118241797
14,1795640.748990237,1808675.3656743013,13034.616684064269,0.7259033685548834
15,408400.0396677464,405385.6627004278,-3014.376967318589,-0.7380941906300825
16,512218.63997424545,510263.190001529,-1955.4499727164512,-0.38176079902417687
17,625943.1284911879,589155.9717475036,-36787.15674368432,-5.8770765376653875
18,621931.9678052581,623845.5376300671,1913.5698248089757,0.3076815349373005
19,1106456.7176946714,1137433.5797333093,30976.862038637977,2.799645168514047
20,1865016.8526868783,1873271.671694522,8254.819007643731,0.4426136415738679
21,581447.8845673613,585909.7634436778,4461.8788763164775,0.767373825710353
22,645502.235531463,642899.805411773,-2602.4301196900196,-0.40316361066470263
23,1116097.3776758902,1104888.64181711,-11208.735858780332,-1.0042793830517627
24,974031.0527409288,974763.271673866,732.2189329371322,0.07517408514612178
25,588227.9401774738,584923.6405135008,-3304.299663973041,-0.5617379655539829
26,673558.6820952386,648569.6591482898,-24989.022946948768,-3.709999382565366
27,1503364.7937474342,1489110.547289116,-14254.246458318084,-0.9481561971919373
28,692982.5024349464,702921.5796245636,9939.077189617208,1.4342464859782282
29,362879.6903135575,364764.55248762004,1884.862174062524,0.519417929516488
30,445916.4117297751,430884.9954803039,-15031.416249471193,-3.370904468656385
31,1189142.0919218974,1179156.9270452831,-9985.164876614232,-0.8396948476086789
32,888717.896943075,888372.3438018793,-345.5531411956763,-0.03888220799696689
33,281504.6323473674,293882.84576245706,12378.213415089645,4.397161535805684
34,536617.3599119339,523242.59700327844,-13374.762908655452,-2.4924208398420857
35,457516.8072423641,477122.4123902504,19605.605147886323,4.28522074763922
36,412956.0432981407,402905.72873066727,-10050.314567473426,-2.433749240525687
37,477035.76154444244,451050.42510340555,-25985.336441036896,-5.447251241061516
38,275068.64445692615,283898.4850640442,8829.840607118036,3.210049849393404
39,1200232.871155005,1240579.5869488195,40346.71579381451,3.3615739714733994
40,695392.7788521145,707188.8472098125,11796.068357698037,1.6963173499111996
41,1104233.4895228103,1094439.8746813512,-9793.614841459086,-0.8869152162457374
42,340666.08510342194,329231.44728410855,-11434.637819313386,-3.35655303516403
43,462929.10747374105,459010.8738001791,-3918.2336735619465,-0.846400368934287
44,353466.65241077513,333137.37704505335,-20329.275365721784,-5.751398392767324
45,558837.3699349612,531996.7891312143,-26840.58080374694,-4.802932346287205
__global__,827136.0320679334,824881.1797026742,-2254.8523652594795,-0.5106876914601803
